"ii","Dim2","rr","Val"
"obs","v_f","USA",-0.0452913627110274
"obs","v_f","MEX",-0.0889963031643412
"obs","v_f","BRA",-0.00586338062002345
"obs","v_f","RUS",-0.0472908658615109
"obs","v_f","LAM",-0.00675771415736394
"obs","v_f","EUR",-0.00089196538558166
"obs","v_f","ROE",-0.0129468420979707
"obs","v_f","ANZ",-0.00269369949965896
"obs","v_f","MES",-0.00409122030141747
"obs","v_f","IDZ",-0.105650604288429
"obs","osd","CHN",-0.0138071853992469
"obs","osd","JPN",-0.0118297705978438
"obs","osd","KOR",-0.0674082490135929
"obs","osd","CAN",-0.0148935776709267
"obs","osd","USA",-0.0466263763070972
"obs","osd","MEX",-0.274490094651757
"obs","osd","BRA",-0.039385407723883
"obs","osd","RUS",-0.0795824621620665
"obs","osd","LAM",-9.19443713967739E-5
"obs","osd","EUR",-0.000293760514220157
"obs","osd","ROE",-0.00436972346099878
"obs","osd","ANZ",-0.00984008269001358
"obs","osd","MES",-0.000121812866127957
"obs","osd","AFR",-0.000182692860271006
"obs","osd","IDZ",-0.129205942016868
"obs","c_b","CHN",-0.0170876840704376
"obs","c_b","JPN",-0.0127811741442702
"obs","c_b","CAN",-0.015641850911742
"obs","c_b","USA",-0.0444847309248453
"obs","c_b","MEX",-0.0876071619174837
"obs","c_b","BRA",-0.062965344677703
"obs","c_b","RUS",-0.154145004740661
"obs","c_b","LAM",-0.00492514425139426
"obs","c_b","EUR",-0.000437824933933871
"obs","c_b","ROE",-0.00781933737109562
"obs","c_b","ANZ",-0.0104222632095365
"obs","c_b","MES",-1.11618706081482E-5
"obs","c_b","AFR",-0.00036279856378404
"obs","c_b","IDZ",-0.142484751602728
"obs","pfb","CHN",-0.0187471498965004
"obs","pfb","CAN",-0.0159358333654142
"obs","pfb","USA",-0.0440627913753573
"obs","pfb","MEX",-0.0892570185356245
"obs","pfb","BRA",-0.0287792907660653
"obs","pfb","RUS",-0.0425700699050454
"obs","pfb","LAM",-0.000460495573588205
"obs","pfb","EUR",-0.00169090192010123
"obs","pfb","ROE",-0.0150738839100273
"obs","pfb","ANZ",-0.00371339715835402
"obs","pfb","MES",-0.000110201849804628
"obs","pfb","AFR",-5.86905948880039E-5
"obs","pfb","IDZ",-0.117118001551898
"obs","ocr","CHN",-0.0173602525047574
"obs","ocr","JPN",-0.018774561795591
"obs","ocr","KOR",-0.0452974857230715
"obs","ocr","CAN",-0.0384395823411089
"obs","ocr","USA",-0.0495049389054139
"obs","ocr","MEX",-0.0846167259791927
"obs","ocr","BRA",-0.0121493572859214
"obs","ocr","RUS",-0.0406037596653538
"obs","ocr","LAM",-0.00080591411208895
"obs","ocr","EUR",-0.000369110008275611
"obs","ocr","ROE",-0.0218673970189881
"obs","ocr","ANZ",-0.011116904548326
"obs","ocr","MES",-0.000319408717068375
"obs","ocr","IDZ",-0.136993830874935
"obs","ctl","CHN",-0.0133381483840411
"obs","ctl","JPN",-0.0157577763821451
"obs","ctl","KOR",-0.0104249174575494
"obs","ctl","CAN",-0.0174975093906334
"obs","ctl","USA",-0.0358060556955159
"obs","ctl","MEX",-0.0797441599398023
"obs","ctl","RUS",-0.0346416261364085
"obs","ctl","LAM",-0.00321649750402541
"obs","ctl","EUR",-0.000605846441039908
"obs","ctl","ROE",-0.000138448308280928
"obs","ctl","ANZ",-0.00282718520066536
"obs","ctl","MES",-0.00643881616855206
"obs","ctl","IDZ",-0.00385836716983856
