"ii","rr","ss","Val"
"oil","EUR","USA",8.04452125377099E-6
"oil","EUR","BRA",7.4274524880828E-6
"oil","EUR","LAM",8.10024641429594E-6
"oil","EUR","EUR",8.59495740428461E-11
"oil","EUR","ROE",8.01421171929718E-6
"oil","EUR","ASI",7.45201207883922E-6
"oil","EUR","REA",7.44263225866538E-6
"oil","EUR","ANZ",8.06692116389174E-6
"oil","EUR","MES",7.47169711468202E-6
"oil","EUR","AFR",1.008185563996E-6
"oil","EUR","IDZ",7.45557902563193E-6
"oil","ROE","CHN",8.95085059423883E-6
"oil","ROE","JPN",-2.91025137257112E-5
"oil","ROE","KOR",-2.78719811419138E-5
"oil","ROE","TWN",-2.62782924388638E-6
"oil","ROE","IND",-0.000822002035844962
"oil","ROE","CAN",7.89858153473239E-6
"oil","ROE","USA",4.72023387068232E-7
"oil","ROE","BRA",-3.92538649363115E-5
"oil","ROE","LAM",7.90216163160196E-6
"oil","ROE","EUR",-0.000120777031780571
"oil","ROE","ROE",2.42877697255891E-6
"oil","ROE","ASI",-1.04313820751147E-6
"oil","ROE","REA",7.24678122136529E-6
"oil","ROE","ANZ",-2.2058367686512E-6
"oil","ROE","MES",6.15308421087436E-6
"oil","ROE","AFR",-5.30411986144285E-6
"oil","ROE","IDZ",-4.95184444603397E-8
"oil","ASI","CHN",-0.0505279655834269
"oil","ASI","JPN",-0.041424482167384
"oil","ASI","KOR",-0.0449275479117007
