"ii","rr","rr_1","Val"
"gas","ROE","ANZ",0.22276726016662
"gas","ROE","MES",2.50899839936073
"gas","ROE","AFR",0.636154030718217
"gas","ASI","CHN",0.285234173963545
"gas","ASI","JPN",13.7240760156419
"gas","ASI","KOR",1.93022032384761
"gas","ASI","TWN",6.20696258571843
"gas","ASI","IND",0.128256597978179
"gas","ASI","CAN",0.00948274781694636
"gas","ASI","USA",0.0519683856982738
"gas","ASI","MEX",0.00659362989244983
"gas","ASI","BRA",0.00375436714966781
"gas","ASI","RUS",0.182945811189711
"gas","ASI","LAM",0.040509782348181
"gas","ASI","EUR",0.909861898359623
"gas","ASI","ROE",0.0645736758431212
"gas","ASI","ASI",0.187031696543272
"gas","ASI","REA",0.000575887515424256
"gas","ASI","ANZ",0.0700178649758527
"gas","ASI","MES",0.682478889870254
"gas","ASI","AFR",0.0387475112889888
"gas","REA","CHN",0.178458491295714
"gas","REA","JPN",6.84513980923816
"gas","REA","KOR",0.910575613256015
"gas","REA","TWN",0.0154814380748576
"gas","REA","IND",0.0120792897596402
"gas","REA","CAN",0.0203587148992028
"gas","REA","USA",0.125474216432849
"gas","REA","MEX",0.0175031446829053
"gas","REA","BRA",0.010327340126878
"gas","REA","RUS",0.371825742637157
"gas","REA","LAM",0.101278153433213
"gas","REA","EUR",1.95080840443245
"gas","REA","ROE",0.225961392603494
"gas","REA","ASI",8.51936002211141
"gas","REA","REA",0.000405020786047317
"gas","REA","ANZ",0.141027350444574
"gas","REA","MES",0.337303713942219
"gas","REA","AFR",0.105517132031991
"gas","ANZ","CHN",0.614560290773625
"gas","ANZ","JPN",16.6242063450991
"gas","ANZ","KOR",0.627810541150211
"gas","ANZ","TWN",0.458193320938335
"gas","ANZ","IND",0.0626594204150024
"gas","ANZ","CAN",0.0647463904988399
"gas","ANZ","USA",0.123296620280598
"gas","ANZ","MEX",0.056308692636776
"gas","ANZ","BRA",0.0112688681456348
"gas","ANZ","RUS",0.197098238250192
"gas","ANZ","LAM",0.0945504489307041
"gas","ANZ","EUR",1.10047226721167
"gas","ANZ","ROE",0.180649044570373
"gas","ANZ","ASI",0.505948948678224
"gas","ANZ","REA",0.000361125652943883
"gas","ANZ","ANZ",0.0873966783522064
"gas","ANZ","MES",0.352557789959974
"gas","ANZ","AFR",0.0838517290676464
"gas","MES","CHN",1.86004663158815
"gas","MES","JPN",28.5162246363266
"gas","MES","KOR",18.5076419266697
"gas","MES","TWN",3.84746891519217
"gas","MES","IND",12.88836719919
"gas","MES","CAN",1.22975470890015
"gas","MES","USA",4.6945760310864
"gas","MES","MEX",1.87755506045949
"gas","MES","BRA",0.573674732210293
"gas","MES","RUS",1.58640828298121
"gas","MES","LAM",3.32105509733026
"gas","MES","EUR",50.278965261938
"gas","MES","ROE",10.1661265254967
"gas","MES","ASI",3.09427632658071
"gas","MES","REA",0.00561595070917065
"gas","MES","ANZ",0.600339066660695
"gas","MES","MES",16.5366659487674
"gas","MES","AFR",0.698736738615594
"gas","AFR","CHN",0.238924504743295
"gas","AFR","JPN",3.17389744659954
"gas","AFR","KOR",1.01488326643084
"gas","AFR","TWN",2.81669011337999
"gas","AFR","IND",2.10431797924866
"gas","AFR","CAN",0.0221416179906555
"gas","AFR","USA",5.98336052871127
"gas","AFR","MEX",1.81334608359566
"gas","AFR","BRA",0.0128493327458727
"gas","AFR","RUS",0.329113496054106
"gas","AFR","LAM",0.878173720093741
"gas","AFR","EUR",48.8907490006148
