"ii","Dim2","rr","Val"
"coa","wap","RUS",6.38545634501497E-6
"coa","wap","LAM",0.00580616804109013
"coa","wap","EUR",0.0030264132881257
"coa","wap","ROE",0.00858290165069775
"coa","wap","ASI",0.00237131840549409
"coa","wap","REA",0.00016954692591753
"coa","wap","ANZ",7.32678308850154E-5
"coa","wap","MES",5.39751563337632E-5
"coa","wap","AFR",0.000104187142596857
"coa","lea","CHN",0.0219667115825359
"coa","lea","JPN",2.44895436480874E-5
"coa","lea","KOR",0.000255193910561502
"coa","lea","IND",0.0064718802459538
"coa","lea","CAN",8.89098646439379E-6
"coa","lea","BRA",4.10559223382734E-5
"coa","lea","RUS",6.76074341754429E-6
"coa","lea","LAM",0.00281933712631144
"coa","lea","EUR",0.0023113949882827
"coa","lea","ROE",0.00324379865446645
"coa","lea","ASI",0.000584172899834812
"coa","lea","REA",0.00318228540982091
"coa","lea","ANZ",2.14419906114927E-5
"coa","lea","MES",2.07467237487435E-5
"coa","lea","AFR",0.000109966671516304
"coa","lum","CHN",0.130661435425282
"coa","lum","JPN",0.000205390839255415
"coa","lum","IND",0.0285846963524818
"coa","lum","CAN",0.000113065609184559
"coa","lum","USA",0.000449038867373019
"coa","lum","MEX",1.15255452328711E-5
"coa","lum","BRA",0.000100199569715187
"coa","lum","RUS",9.75386356003582E-5
"coa","lum","LAM",0.00343809841660914
"coa","lum","EUR",0.0178690114807978
"coa","lum","ROE",0.00381974202878155
"coa","lum","ASI",0.00723020976874977
"coa","lum","REA",0.00225259562239444
"coa","lum","ANZ",0.000113304660771973
"coa","lum","MES",0.000128696978208609
"coa","lum","AFR",0.000477175521155004
"coa","ppp","CHN",0.585880607366562
"coa","ppp","JPN",1.5441358089447
"coa","ppp","KOR",0.00696616666391492
"coa","ppp","TWN",0.408277869224548
"coa","ppp","IND",0.457602888345718
"coa","ppp","CAN",0.00109183462336659
"coa","ppp","USA",0.00329846609383821
"coa","ppp","BRA",0.000788486213423312
"coa","ppp","RUS",0.000385335413739085
"coa","ppp","LAM",0.0239389928547098
"coa","ppp","EUR",0.387952929360836
"coa","ppp","ROE",0.0513512720781364
"coa","ppp","ASI",0.0494918826971116
"coa","ppp","REA",0.0827258488898224
"coa","ppp","ANZ",0.00288283836289338
"coa","ppp","MES",0.000831094163004309
"coa","ppp","AFR",0.00253163159868564
"coa","p_c","CHN",20.9689064025879
"coa","p_c","JPN",45.5523948669434
"coa","p_c","KOR",22.4592685699463
"coa","p_c","TWN",5.89042949676514
"coa","p_c","IND",6.61573553085327
"coa","p_c","CAN",1.13775765895844
"coa","p_c","USA",4.3732795715332
"coa","p_c","MEX",1.21346509456635
