"ii","rr","ss","Val"
"gro","USA","TWN",1.56132976503187E-5
"gro","USA","IND",1.93400883898853E-5
"gro","USA","BRA",0.00365878596058145
"gro","USA","RUS",0.00269711030309527
"gro","USA","LAM",0.0976505153155602
"gro","USA","EUR",0.0155852545399846
"gro","USA","ROE",0.0827688540696501
"gro","USA","ASI",0.0921784338888528
"gro","USA","REA",0.0209924713394503
"gro","USA","ANZ",0.00141174470745789
"gro","USA","MES",0.0167478135128686
"gro","USA","AFR",0.0086461757282606
"gro","USA","IDZ",0.0499993935497958
"gro","MEX","IND",0.149999947851862
"gro","MEX","BRA",0.0221040697701769
"gro","MEX","LAM",0.13063484652185
"gro","MEX","EUR",0.00477258112568634
"gro","MEX","ASI",0.045619194909231
"gro","MEX","REA",0.0137161532812343
"gro","MEX","AFR",0.0131721311391458
"gro","BRA","CHN",0.00997190929404625
"gro","BRA","JPN",0.0774374220596898
"gro","BRA","KOR",4.28666671053301
"gro","BRA","MEX",0.0428912673106978
"gro","BRA","LAM",0.0374326119216545
"gro","BRA","EUR",0.00164921338272721
"gro","BRA","ASI",3.71924357915393E-5
"gro","BRA","REA",0.171160046294112
"gro","BRA","MES",0.189669206258727
"gro","BRA","AFR",0.0250504706781277
"gro","BRA","IDZ",0.0499999399862596
"gro","RUS","JPN",0.268101549966804
"gro","RUS","KOR",4.26489473906159
"gro","RUS","USA",6.23241671031671E-5
"gro","RUS","EUR",0.0777153117045411
"gro","RUS","ROE",0.626010198560027
"gro","RUS","REA",0.0492885083730207
"gro","RUS","MES",0.0474773568288214
"gro","RUS","AFR",0.148471156802338
"gro","LAM","CHN",0.0157611919235852
"gro","LAM","JPN",0.0453725805817182
"gro","LAM","KOR",3.45014527687127
"gro","LAM","TWN",0.00513893537170851
"gro","LAM","IND",0.000464122170851903
"gro","LAM","CAN",8.21557480260976E-5
"gro","LAM","USA",0.000147973633090126
"gro","LAM","MEX",0.0914961818030202
"gro","LAM","BRA",3.19077339712177E-6
"gro","LAM","RUS",0.0464597501266904
"gro","LAM","LAM",0.0415029940041061
"gro","LAM","EUR",0.0935093764051296
"gro","LAM","ROE",0.691398586380754
"gro","LAM","ASI",0.00200705272862878
"gro","LAM","REA",0.044266876214187
"gro","LAM","ANZ",0.000800682589468455
"gro","LAM","MES",0.0630576141546051
"gro","LAM","AFR",0.0446927515112264
"gro","LAM","IDZ",0.0498856206935072
"gro","EUR","CHN",0.0147301201325193
